Make_name,Make_Desc,Make_guid,Product_Model_Name,Model_Desc,Model_guid,Model_Specifications_1,Model_Specifications_2,Quantity,Unit_Price
Mercury,In congue. Etiam justo. Etiam pretium iaculis justo.,44cefd19-a2c7-4b80-ba7a-72b246bdadb4,Mountaineer,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",89a75252-ee4f-40f9-bf50-42d2c9e1ef6a,13734-106,401004290-7,54,92000
Porsche,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,c9322cca-ac46-4a6e-99b9-c70fa808bc0d,944,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2c9d2cd8-7331-448b-8abe-494cd52351f1,29500-8040,971807569-0,68,77000
GMC,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",f4f6cff1-7714-4435-b711-77680460d991,Jimmy,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,921b26e9-55cd-4b84-be66-91aa4a95cbea,42851-052,279781897-0,91,41000
Buick,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",db329e4c-4fa0-4291-9462-c19595fddd29,Skyhawk,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",d15e2dd5-835b-4f46-b7d1-319d3e4c2e79,0228-2983,055940858-7,5,70000
GMC,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,3405db06-9e1b-473b-a00f-733c2d62b4c8,Yukon XL 2500,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",12342806-c08f-45b0-a879-edb9cd98bab1,52125-472,302308867-5,10,33000
Mercedes-Benz,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",d3f247a4-31ef-4451-89a0-2079a223ab19,E-Class,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",1621d062-5f8c-47b3-a263-2e40f2838622,37808-706,624155729-7,93,35000
Mazda,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,200c849b-4f83-4fc8-8413-8f49e6588447,Protege5,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",bdbc3117-9459-411a-a341-10a696c104f1,57520-0285,702421739-1,39,38000
Chrysler,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",f13b89f7-5930-49c0-a703-0fc88cb54ba0,Town & Country,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",543fbd21-f71f-4f99-8118-f6a586aa76f0,0268-1610,856609724-6,12,80000
Austin,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1760bd6d-fb79-4c04-a669-3765a221c458,Mini,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,c79a0ad5-38e7-4e42-a4e1-44f0bd6abfa6,60977-319,930576314-6,6,11000
Volvo,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,e6cece29-4f35-42f9-a6c4-ab391ab7373c,V50,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",278f5248-bbb3-4491-809c-90a9e644ee1f,55312-463,623667272-5,13,29000
