Make_id,Make_name,Make_Desc,Make_guid,Product_Make_id,Product_Model_id,Product_Model_Name,Model_Desc,Model_guid,Model_Specifications_1,Model_Specifications_2,Quantity,Unit_Price
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,63,Monte Carlo,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",6d7b853d-9f17-4c81-8c91-a2c81717864b,55319-237,926101023-7,8,70000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",e704f1ef-6eb9-4163-b00c-57604234600b,2,62,Boxster,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,67dcf450-5759-4a48-8215-96241fe06d65,49884-823,600599645-2,1,71000
10,Cadillac,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",d23f8317-8a88-4d19-9921-369871b0bb1f,10,60,Spirit,Etiam faucibus cursus urna. Ut tellus.,d44e80d7-eb93-4e2e-b2b6-4667e33af2b7,52584-042,372046511-X,2,46000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,59,F-Series,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,c8abf131-d991-4152-9852-05a9def16f66,15687-001,118133620-1,2,10000
8,Dodge,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",da9456b4-184a-4e0b-a2c3-6734bfdfb25c,8,58,Bravada,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",27e89e97-286f-4aed-9e36-0b344a8db33f,67751-095,897262026-2,68,54000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17d407d7-46d3-42a4-899e-dcb5a68f0c66,7,57,3500,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",23836854-d646-4cf4-8401-29e052c6f00e,0043-6257,438802458-9,79,67000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,55,Galant,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,3bbe1dbd-d623-4312-a1aa-1f89f3957776,16714-587,107580417-5,33,78000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,54,Crossfire,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",2f65ee02-6681-46de-930c-6db00c88208b,55910-220,972445224-7,83,97000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,49,Miata MX-5,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,4e714c65-e4b3-4e38-b509-e40cb07d4ad9,0722-7121,142628525-6,87,48000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",e704f1ef-6eb9-4163-b00c-57604234600b,2,42,A4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,ba96b016-f84c-4ff4-a3fa-272fb76583c3,54868-2679,426038370-1,45,75000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,35,Spectra,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",ede64bc9-e5f0-4a45-ae2d-fb704bd679dc,35000-868,850217577-7,95,27000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,34,Freelander,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,afb1d8cd-15d2-442f-83df-c0302b8b5e73,0615-7842,189583747-2,27,60000
2,Ford,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",e704f1ef-6eb9-4163-b00c-57604234600b,2,32,S60,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",72c4c505-3599-4088-998a-e3cdd988df66,0062-5351,461057298-2,89,50000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,29,I,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",506d7661-5c3f-4ad2-a80a-e0636adf9ff8,45802-736,701556812-8,82,69000
9,Chrysler,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,38530f49-7ac9-4ce0-85eb-52d6d0cd398a,9,29,I,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",506d7661-5c3f-4ad2-a80a-e0636adf9ff8,50309-777,730284615-4,15,69000
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,24,NV1500,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",4d1a8337-7869-49c9-8e8c-d8cc21395a6c,57520-0466,245803535-3,98,21000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,23,500SEL,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",735cb783-80bd-409f-94ca-249099053b04,37012-469,306145895-6,34,32000
1,Lincoln,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1d14b99c-106a-4686-9533-233e5c00b3ec,1,21,Vision,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,34fe3957-3f8f-4473-a4b5-8152b7fcf0ea,0049-3920,740725852-X,42,63000
1,Lincoln,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1d14b99c-106a-4686-9533-233e5c00b3ec,1,21,Vision,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,34fe3957-3f8f-4473-a4b5-8152b7fcf0ea,61957-1473,928577157-2,74,63000
8,Dodge,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",da9456b4-184a-4e0b-a2c3-6734bfdfb25c,8,18,1500,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,0470f8dc-a2d4-4e7a-a7c4-e8b8676029c3,37000-754,308307388-7,90,54000
7,BMW,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17d407d7-46d3-42a4-899e-dcb5a68f0c66,7,17,Acadia,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,66cc32b6-5874-4221-a78c-0aca6aa9df07,0135-0432,982659474-1,98,82000
6,Maserati,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",cbe922b7-7627-4531-884c-7b219fc8db0c,6,16,3 Series,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,4841815a-7b29-4838-8446-9cbdbc0ab0db,68220-083,709481478-X,13,15000
6,Maserati,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",cbe922b7-7627-4531-884c-7b219fc8db0c,6,16,3 Series,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,4841815a-7b29-4838-8446-9cbdbc0ab0db,51808-201,501233156-7,91,15000
5,Chevrolet,Integer ac leo. Pellentesque ultrices mattis odio. ,7f8748b5-96ef-494c-a912-7c4d67bfd0a5,5,15,C-Class,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,2a2f8b6f-b9cc-4457-9979-41a8e7b01045,55692-200,280802139-9,51,49500
4,Volkswagen,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,1937eb0d-33c2-4ea5-b33a-181e49934035,4,14,3 Series,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",d066c7c7-6d8b-42a0-8cd8-fe8dfc89f712,44924-007,258063026-0,38,58000
3,Audi,Nunc rhoncus dui vel sem. Sed sagittis. Morbi porttitor lorem id ligula.,6eafb7eb-ef3d-4fc9-b740-e9d955629e95,3,3,Civic,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",7b216a60-d938-4e41-a303-e482a754aa6e,68084-077,385334127-6,27,30000
