Make_name,Model_Name,Make_guid,Model_guid
Dodge,Bravada,da8000bf-88ab-4e86-b6c5-b600300e0656,7c69cbc8-3750-47ac-a483-b2cb891b7911
Chrysler,F-Series,d9eb5ef1-1941-47d8-8086-bf9996836ce2,1afdadb7-c3cf-44e6-b5f5-3460799de2e2
Cadillac,Spirit,a2ce6795-d335-468c-a2cc-600173f881fa,da0f92ff-3239-4e19-b105-d417af8538cd
Lincoln,Millenia,70039700-7566-4d9f-83ca-53865419f28b,638a4749-cf30-4afb-96df-550659f02610
Ford,Boxster,11c4a84f-9d82-4c36-be93-7f571f630bb2,562c83dd-d037-482c-9ae4-d1dd5e1113e5
Audi,Monte Carlo,c81e0c42-6689-4d94-89a5-135671ebedd8,d843f151-cfda-43c5-a070-82599295ba64
Volkswagen,F-Series,6225b350-f203-4786-b0ff-fc7a090cb94f,ac65f475-23f4-4307-9b2c-7d2bbc9b8450
Chevrolet,S-Class,2858347c-b1b6-423c-980b-a363ff465403,5ea686e9-4a8c-4e47-ab0d-504ab0c6cfff
Maserati,Discovery,e5e3f068-98f0-49b4-be98-8e55a6f27456,05505068-d86f-408d-b865-512ed25d39af
BMW,W201,8d6b506f-bebd-48d9-a354-0cc1fe08dcc8,752580a7-f955-4476-9482-36bd59f50487
Dodge,Solara,400850d7-954a-499a-8279-578f3c2d6c69,c3f23ed5-2824-4352-88b6-a74a195c7e8e
Chrysler,6000,e32cd441-f383-4c90-b9c6-f5ed58a4fee0,7e1c45cb-14cb-437b-a08b-11a100d6feb6
Cadillac,H3,dea1c4f3-b6bd-4ff5-9b96-177b806318ff,b3147b0e-5f73-4c48-b773-9535db0b6b5f
Lincoln,Continental,f776391e-775c-4932-97df-37ef7dab5c7d,171c0776-4dff-4ba5-86b9-e679b65ba4cb
Ford,Outlander,45e9e690-66b0-4a88-882c-b319e9e0af00,dab3fdd5-b3ad-482d-a3a6-e54174459ffe
Audi,960,4fdb0baf-0962-40f7-aa49-ab93a820f300,2b1884cf-818d-4bb3-bbfd-814fb796e6f2
Volkswagen,Edge,d8bcbb4a-e22b-4ce6-88e6-343ace7c601d,8d01be3b-2235-4402-bf63-8442252bcb9e
Chevrolet,Tribeca,791264c5-269e-475b-80d7-7c8730b09028,6bbb299b-d04c-4aab-ab49-c79c227b13d4
Maserati,V40,1308c1c7-5be8-4da0-aa75-7425c316faa3,96468d7e-3cb5-4bc1-8bae-e7e4d5588ff6
BMW,Spectra,2bbdfa29-ca61-4594-8faa-9dfa826277a5,4565600c-1fbc-4a03-8464-dd3fbd8f6e3c
Dodge,H1,71f7d84a-0df6-458b-b2bb-2ac4c3ea742f,d8e3feb3-38e8-4f8f-9c60-2034be51687d
Chrysler,GT500,acada500-7bf7-40ef-ac8a-af017af65b3e,065daad4-0313-4aec-be24-b096874f45e7
Cadillac,Optima,5f70b3f9-8aa0-4627-8716-c84d12fbd1d4,6f99bfcb-772d-4df5-af4b-d7f81ad18049
Lincoln,ES,bbde5b5d-b766-4353-8137-ceaee2e31ef5,768b7b5e-870e-43a0-b042-74a0da0aa390
Ford,CTS-V,efa34eca-9b10-4b77-99fc-86047fef389f,c32429d6-959a-4a73-9dc9-0ab662f66cf6
Audi,Explorer,c8d4480c-a5ef-4c80-a1c5-d267d62d59f6,337560b8-ddc1-4b19-8409-393899fdfaed
Volkswagen,LS,2c67e61b-5331-4c39-8ffd-450e3d752783,79ec51c4-c18c-4d90-981a-6cc76a38d5cd
Chevrolet,Millenia,f5f238de-4400-44ae-bae9-7966a840ba24,01cc0fc9-a131-4e7e-bf97-1e2567f8e398
Maserati,Solara,77aa1ed7-f640-4368-8d96-dd40bc075d47,56a231c5-743d-4f30-a742-cdbad6b53d08
BMW,S4,13c762ca-075d-4ffe-8851-470fe9f147c0,bd3f90a4-92e4-46f3-be0c-b8cdedba323e
Dodge,Town & Country,912df098-b2e7-44d9-8fce-18b1535af6e5,66e1dcc4-609a-4a5f-b7e9-6fa8fd37dd94
Chrysler,Courier,2b5a6213-cc56-47ca-81e7-2cfc2ad07214,702256e5-0d7c-41c7-b915-c9bcc52507ec
Cadillac,A8,3c21d382-e7cf-4927-a8ec-8215d06259cd,ad32e537-346d-457d-bd46-bcc67c82224e
Lincoln,Vibe,06d33d8d-dffc-4b52-b119-11c559026290,f38bcc5f-9995-4715-8b4a-ecb8cecd3d89
Ford,Yukon,c2477ddc-978e-42d1-932e-89e9f9230e06,9b1fdb9b-9d43-4602-a228-7a78ae6cab61
Audi,Equinox,d8c56370-f8f1-46ff-befb-92230892c11b,efbbdba4-779d-4b77-9f74-7f98036dec88
Volkswagen,Oasis,3e2b8884-0c1b-489f-8a3d-58012ad9cba2,05993264-7583-49bb-a3de-591f79459169
Chevrolet,750,063b7dcf-d8df-424f-9db8-d236b0c66e25,a5e2db12-280e-49e2-b623-692a70fca889
Maserati,Patriot,55cede52-03fd-4ad7-a941-d628406821e5,17df5e0d-5352-4ce0-86bb-c2f50e8c7f72
BMW,Sequoia,a2ac7009-f508-43db-88a4-46577402bc3e,6e83f0c7-2391-4d90-bf70-4a03b82ee776
Dodge,CTS-V,99fe8003-0c8f-407c-9e20-8d09f8450d7a,4e6f0092-84ab-4ddd-97f8-4a3ca53874af
Chrysler,5 Series,3609510f-4eb0-46a1-88f3-78b0986ea923,959bf353-1321-4ffe-a4f4-6ed9bfe64a3f
Cadillac,Alero,a0488f7e-0043-4d6f-af71-50d5066cac94,14437bbe-57a8-4516-be5f-1620eba01cfd
