AddressID,CityID,AddressLine1,AddressLine2,PostalCode
222,2593547,3134 Morningstar Point,,00000
223,2657314,7 Sommers Lane,4 Loomis Drive,00000
224,2615184,5069 Waxwing Alley,,00000
225,2543771,63911 Lerdahl Alley,,756591
226,2557320,85457 Village Green Parkway,6554 Mockingbird Crossing,55555
227,2652373,670 Hanover Avenue,,281 44
228,2643383,564 Cordelia Alley,92 Mallard Parkway,00000
229,2602879,85488 Westend Trail,,063061
230,2532545,507 Northridge Drive,,555
231,2561776,54073 Westerfield Place,,905-1413
232,2593577,6 Mosinee Lane,,9240
233,2594688,6312 Starling Trail,,175 49
234,2655960,06337 Forest Run Alley,,1808
235,2644700,30041 Vernon Pass,78837 Bluejay Road,1808
236,2663291,1895 Texas Pass,,5555
237,2579890,019 Village Green Park,7 Clyde Gallagher Court,1808
238,2573952,86819 Laurel Crossing,,38-450
239,2552004,9631 School Pass,,00000
240,2600049,24 Red Cloud Lane,,00000
241,2645286,14 Clyde Gallagher Way,,00000
242,2582441,22813 High Crossing Road,3883 Delaware Hill,00000
243,2534220,03 Florence Street,8332 Farmco Terrace,3905
244,2547028,1929 Hovde Junction,,00000
245,2558286,59 Carey Drive,,00000
246,2591968,88 Merchant Parkway,785 Cottonwood Center,1290
247,2585129,29 Florence Street,,00000
248,2560345,81147 Weeping Birch Park,97 Blaine Plaza,00000
249,2613676,77117 Tennessee Pass,0933 Veith Point,00000
250,2661474,9398 Vahlen Road,,00000
