OrderID,AddressID,CustomerID,EmployeeID,OrderStatus,OrderDate,RequiredDate,ShipDate,Freight,SalesTax
16,1,1,99,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-26,2020-10-03,2020-09-30,1883.41,529.39
17,2,2,102,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-05,2020-05-17,2020-05-15,1962.89,524.55
18,3,3,140,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-04,2020-01-14,2020-01-14,1120.79,861.37
19,4,4,131,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-23,2020-03-02,2020-02-19,1407.87,181.54
20,5,5,12,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-30,2020-11-08,2020-11-07,1858.29,971.11
21,6,6,67,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-16,2020-01-23,2020-01-24,1096.36,157.70
22,7,7,127,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-26,2020-12-08,2020-12-03,1522.01,178.12
23,8,8,149,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-24,2020-05-06,2020-05-03,1618.28,535.94
24,9,9,114,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-16,2020-09-26,2020-09-21,1319.04,769.18
25,10,10,186,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-27,2020-12-05,2020-11-30,1468.76,914.00
26,11,11,152,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-10,2020-04-20,2020-04-13,1519.87,973.40
27,12,12,173,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-14,2020-01-23,2020-01-15,1191.79,764.20
28,13,13,132,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-15,2020-06-24,2020-06-22,1408.13,449.19
29,14,14,78,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-08,2020-08-16,2020-08-16,1877.43,632.72
30,15,15,101,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-28,2020-12-05,2020-12-01,1480.10,894.19
31,1,1,37,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-28,2020-05-08,2020-05-07,1163.94,754.08
32,2,2,54,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-05,2020-09-17,2020-09-10,1162.69,832.59
33,3,3,130,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-15,2020-08-27,2020-08-19,1074.30,960.71
34,4,4,59,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-11,2020-07-22,2020-07-20,1061.32,713.11
35,5,5,92,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-27,2020-04-06,2020-03-29,1315.44,719.44
36,6,6,54,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-18,2020-03-28,2020-03-27,1011.52,996.40
37,7,7,2,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-26,2020-11-06,2020-10-30,1670.25,460.92
38,8,8,112,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-10,2020-04-18,2020-04-12,1376.41,350.34
39,9,9,65,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-26,2020-11-07,2020-11-07,1510.16,497.51
40,10,10,53,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-15,2020-07-27,2020-07-16,1236.21,869.12
41,11,11,50,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-17,2020-05-27,2020-05-25,1223.22,704.90
42,12,12,163,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-11,2020-04-21,2020-04-15,1531.98,138.09
43,13,13,125,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-14,2020-06-24,2020-06-18,1211.68,963.95
44,14,14,50,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-18,2020-08-30,2020-08-20,1658.89,139.86
45,15,15,45,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-04,2020-06-13,2020-06-10,1296.78,243.39
46,1,1,33,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-26,2020-02-06,2020-02-01,1173.60,693.78
47,2,2,161,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-01,2020-11-11,2020-11-15,1365.82,475.93
48,3,3,143,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-21,2020-05-02,2020-04-30,1631.17,450.72
49,4,4,129,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-29,2020-10-10,2020-10-03,1751.55,221.61
50,5,5,6,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-10,2020-08-22,2020-08-22,1891.55,414.02
51,6,6,169,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-14,2020-08-21,2020-08-19,1192.39,573.96
52,7,7,182,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-14,2020-02-20,2020-02-12,1069.75,254.86
53,8,8,182,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-07,2020-05-18,2020-05-08,1025.89,203.67
54,9,9,47,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-17,2020-06-30,2020-06-26,1326.30,546.65
55,10,10,12,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-06,2020-01-13,2020-01-08,1530.85,296.49
56,11,11,118,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-09,2020-07-21,2020-07-12,1892.11,800.70
57,12,12,29,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-18,2020-02-29,2020-02-22,1966.16,313.84
58,13,13,173,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-19,2020-10-27,2020-10-29,1787.59,348.63
59,14,14,95,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-29,2020-04-09,2020-04-07,1438.62,218.95
60,15,15,187,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-04,2020-08-11,2020-08-14,1939.13,787.19
61,1,1,150,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-26,2020-12-07,2020-11-29,1571.94,135.45
62,2,2,25,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-01,2020-08-09,2020-08-10,1419.62,434.93
63,3,3,45,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-04,2020-11-13,2020-11-02,1724.77,177.65
64,4,4,52,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-17,2020-09-23,2020-09-22,1354.74,924.04
65,5,5,69,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-24,2020-11-01,2020-10-28,1539.75,690.28
66,6,6,39,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-03,2020-10-12,2020-10-10,1751.41,586.60
67,7,7,18,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-30,2020-10-06,2020-10-08,1455.16,572.18
68,8,8,152,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-25,2020-10-05,2020-09-25,1783.09,799.34
69,9,9,1,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-04,2020-10-14,2020-10-05,1201.19,932.51
70,10,10,159,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-18,2020-01-25,2020-02-01,1528.95,523.47
71,11,11,155,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-13,2020-05-25,2020-05-16,1102.43,552.74
72,12,12,152,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-01,2020-02-11,2020-02-03,1946.73,589.03
73,13,13,40,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-26,2020-09-06,2020-08-31,1889.52,929.51
74,14,14,5,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-10,2020-05-19,2020-05-18,1921.90,364.82
75,15,15,117,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-26,2020-03-07,2020-03-07,1872.95,850.42
76,1,1,157,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-19,2020-03-28,2020-03-19,1222.06,726.92
77,2,2,104,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-02,2020-04-15,2020-04-12,1360.64,528.02
78,3,3,2,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-23,2020-04-02,2020-03-31,1446.52,236.56
79,4,4,166,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-11,2020-07-20,2020-07-14,1249.91,279.59
80,5,5,108,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-17,2020-06-29,2020-06-22,1176.37,412.76
81,6,6,6,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-15,2020-04-25,2020-04-14,1919.28,307.22
82,7,7,56,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-02,2020-05-13,2020-05-10,1271.79,482.55
83,8,8,127,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-11,2020-04-19,2020-04-19,1537.28,676.11
84,9,9,195,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-02,2020-11-07,2020-11-14,1509.53,102.96
85,10,10,56,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-01,2020-10-10,2020-10-05,1951.20,516.61
86,11,11,139,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-29,2020-08-09,2020-08-04,1993.87,132.15
87,12,12,96,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-01,2020-06-09,2020-06-06,1294.14,294.97
88,13,13,171,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-12,2020-04-23,2020-04-26,1324.97,167.32
89,14,14,84,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-30,2020-07-11,2020-07-02,1181.00,450.20
90,15,15,142,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-10,2020-03-20,2020-03-14,1995.89,503.53
91,1,1,25,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-27,2020-02-07,2020-02-04,1351.34,803.77
92,2,2,143,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-21,2020-12-06,2020-11-21,1343.74,998.26
93,3,3,31,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-20,2020-08-27,2020-08-22,1817.04,116.35
94,4,4,186,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-29,2020-07-11,2020-06-27,1223.36,695.13
95,5,5,81,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-11-04,2020-11-15,2020-11-07,1758.41,734.38
96,6,6,149,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-03,2020-02-13,2020-02-09,1983.68,114.37
97,7,7,36,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-06,2020-06-13,2020-06-09,1366.61,150.61
98,8,8,60,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-30,2020-05-12,2020-05-05,1967.34,890.64
99,9,9,188,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-12,2020-09-22,2020-09-24,1884.55,322.36
100,10,10,31,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-27,2020-11-08,2020-10-30,1471.66,642.01
101,11,11,59,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-30,2020-04-08,2020-03-31,1431.66,809.67
102,12,12,120,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-04,2020-04-10,2020-04-13,1491.44,433.79
103,13,13,62,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-02,2020-05-11,2020-05-08,1312.80,828.40
104,14,14,47,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-16,2020-01-23,2020-01-23,1411.98,575.45
105,15,15,46,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-05,2020-10-17,2020-10-15,1094.04,560.50
106,1,1,197,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-28,2020-07-11,2020-07-03,1716.72,643.64
107,2,2,26,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-18,2020-04-28,2020-04-24,1744.93,429.83
108,3,3,158,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-08,2020-03-20,2020-03-08,1315.94,836.26
109,4,4,38,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-06,2020-02-19,2020-02-12,1036.34,939.72
110,5,5,103,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-15,2020-05-26,2020-05-21,1127.66,653.94
111,6,6,99,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-12,2020-06-18,2020-06-19,1858.27,139.91
112,7,7,58,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-07-05,2020-07-17,2020-07-02,1057.36,974.50
113,8,8,53,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-05,2020-10-15,2020-09-29,1739.81,343.96
114,9,9,69,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-14,2020-02-23,2020-02-16,1906.74,918.28
115,10,10,54,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-14,2020-08-22,2020-08-21,1612.54,796.43
116,11,11,77,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-04,2020-02-12,2020-02-11,1262.83,990.11
117,12,12,35,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-24,2020-06-03,2020-06-02,1117.94,879.66
118,13,13,45,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-30,2020-07-11,2020-07-06,1141.69,159.10
119,14,14,50,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-30,2020-04-10,2020-04-05,1280.23,501.97
120,15,15,2,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-08-22,2020-09-03,2020-08-28,1779.84,588.41
121,1,1,13,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-11,2020-03-22,2020-03-19,1094.74,640.25
122,2,2,168,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-19,2020-02-01,2020-01-19,1930.61,807.11
123,3,3,83,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-26,2020-04-04,2020-03-27,1886.71,553.08
124,4,4,130,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-02-09,2020-02-21,2020-02-15,1388.75,302.23
125,5,5,31,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-17,2020-09-24,2020-09-23,1383.27,578.00
126,6,6,116,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-17,2020-04-25,2020-04-26,1310.49,710.44
127,7,7,146,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-18,2020-03-24,2020-03-21,1132.76,763.05
128,8,8,90,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-30,2020-07-10,2020-07-06,1516.87,764.00
129,9,9,48,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-09,2020-10-22,2020-10-10,1744.27,501.44
130,10,10,107,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-01-02,2020-01-14,2020-01-03,1435.05,580.12
131,11,11,29,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-04-13,2020-04-25,2020-04-24,1048.86,491.83
132,12,12,139,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-05-06,2020-05-15,2020-05-09,1870.02,667.92
133,13,13,50,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-06-19,2020-07-02,2020-06-24,1020.61,536.85
134,14,14,72,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-10-21,2020-10-28,2020-10-28,1189.02,567.20
135,15,15,41,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-11,2020-03-19,2020-03-14,1562.36,571.65
136,1,1,108,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-03-02,2020-03-11,2020-03-05,1086.47,906.51
137,2,2,149,Syntax error in formula 'if this == 1 then 'New' elsif this == 2 then 'Paid' elsif == 3 then 'Unshipped' else 'Shipped'  end',2020-09-24,2020-10-04,2020-10-03,1644.58,141.07
