OrderID,AddressID,CustomerID,PaymentID,EmployeeID,OrderStatus,OrderDate,RequiredDate,ShipDate,Freight,SalesTax
31,1,1,31,36,New,2020-01-18,2020-01-30,2020-01-26,1826.35,442.22
32,2,2,32,53,New,2020-06-14,2020-06-21,2020-06-17,1025.04,314.78
33,3,3,33,74,Shipped,2020-04-20,2020-05-03,2020-04-28,1346.82,234.28
34,4,4,34,154,Paid,2020-06-22,2020-06-30,2020-06-23,1660.67,938.09
35,5,5,35,74,Shipped,2020-01-11,2020-01-23,2020-01-16,1138.15,981.29
36,6,6,36,143,Unshipped,2020-03-05,2020-03-15,2020-03-13,1073.28,564.86
37,7,7,37,162,New,2020-04-19,2020-04-28,2020-04-25,1685.60,731.78
38,8,8,38,124,Unshipped,2020-10-07,2020-10-10,2020-10-15,1196.36,649.82
39,9,9,39,171,Unshipped,2020-02-02,2020-02-12,2020-02-08,1330.97,956.99
40,10,10,40,13,New,2020-06-30,2020-07-13,2020-07-05,1764.80,738.74
41,11,11,41,91,Unshipped,2020-10-27,2020-11-05,2020-10-31,1202.00,251.88
42,12,12,42,196,Shipped,2020-04-26,2020-05-11,2020-05-03,1614.16,582.89
43,13,13,43,178,New,2020-04-03,2020-04-16,2020-04-10,1243.22,280.06
44,14,14,44,91,Paid,2020-02-16,2020-02-26,2020-03-04,1559.65,912.71
45,15,15,45,98,Unshipped,2020-01-09,2020-01-19,2020-01-12,1313.10,985.53
46,1,1,46,197,Shipped,2020-06-03,2020-06-14,2020-06-07,1025.08,779.90
47,2,2,47,35,Paid,2020-10-04,2020-10-14,2020-10-10,1366.05,526.29
48,3,3,48,165,New,2020-03-12,2020-03-20,2020-03-13,1483.63,654.78
49,4,4,49,173,Paid,2020-04-15,2020-04-22,2020-04-16,1455.37,126.52
50,5,5,50,91,New,2020-03-07,2020-03-18,2020-03-17,1220.44,732.82
51,6,6,51,103,New,2020-07-28,2020-08-08,2020-08-06,1204.77,842.13
52,7,7,52,196,Unshipped,2020-04-05,2020-04-17,2020-04-09,1730.51,290.37
53,8,8,53,169,Paid,2020-10-26,2020-11-05,2020-10-28,1840.88,583.90
54,9,9,54,70,Unshipped,2020-11-08,2020-11-17,2020-11-16,1366.16,866.25
55,10,10,55,1,Shipped,2020-06-16,2020-06-22,2020-06-17,1208.42,290.92
56,11,11,56,29,Unshipped,2020-06-11,2020-06-20,2020-06-24,1570.41,867.19
57,12,12,57,32,Unshipped,2020-03-08,2020-03-18,2020-03-18,1050.24,322.68
58,13,13,58,96,Shipped,2020-11-03,2020-11-12,2020-11-05,1849.82,707.13
59,14,14,59,70,New,2020-03-09,2020-03-21,2020-03-09,1480.73,782.45
60,15,15,60,128,New,2020-11-10,2020-11-23,2020-11-15,1817.87,544.99
61,1,1,61,53,Paid,2020-06-19,2020-06-28,2020-06-24,1348.67,300.76
62,2,2,62,52,Shipped,2020-11-28,2020-12-04,2020-11-25,1422.08,407.31
63,3,3,63,88,Unshipped,2020-01-17,2020-01-28,2020-01-17,1251.43,519.04
64,4,4,64,85,New,2020-07-08,2020-07-16,2020-07-07,1102.65,319.56
65,5,5,65,126,Shipped,2020-07-04,2020-07-14,2020-07-02,1021.49,266.31
66,6,6,66,75,Paid,2020-07-25,2020-08-07,2020-08-10,1050.65,977.89
67,7,7,67,155,Shipped,2020-01-06,2020-01-18,2020-01-14,1975.03,816.22
68,8,8,68,91,Unshipped,2020-10-29,2020-11-06,2020-10-27,1798.81,684.27
69,9,9,69,98,New,2020-04-19,2020-04-29,2020-04-22,1656.87,815.89
70,10,10,70,89,Unshipped,2020-01-20,2020-01-30,2020-01-22,1390.33,570.71
71,11,11,71,189,Paid,2020-01-06,2020-01-15,2020-01-09,1006.63,425.42
72,12,12,72,158,New,2020-07-06,2020-07-14,2020-07-09,1029.08,305.71
73,13,13,73,18,Paid,2020-05-26,2020-06-05,2020-05-29,1546.54,650.91
74,14,14,74,108,Unshipped,2020-05-11,2020-05-19,2020-05-15,1288.14,658.88
75,15,15,75,125,Shipped,2020-11-03,2020-11-13,2020-11-11,1786.19,185.44
76,1,1,76,49,Shipped,2020-08-12,2020-08-21,2020-08-17,1419.33,924.85
77,2,2,77,121,Paid,2020-03-20,2020-03-26,2020-03-30,1443.60,960.42
78,3,3,78,86,Unshipped,2020-05-05,2020-05-11,2020-05-10,1298.76,186.35
79,4,4,79,113,Unshipped,2020-04-13,2020-04-24,2020-04-22,1687.13,371.15
80,5,5,80,178,New,2020-02-25,2020-03-07,2020-03-06,1255.29,528.03
81,6,6,81,21,Unshipped,2020-01-03,2020-01-16,2020-01-14,1199.45,955.45
82,7,7,82,88,New,2020-10-05,2020-10-14,2020-10-09,1521.88,403.08
83,8,8,83,178,Unshipped,2020-01-14,2020-01-24,2020-01-31,1043.20,205.09
84,9,9,84,155,Unshipped,2020-09-05,2020-09-13,2020-09-09,1659.42,232.02
85,10,10,85,192,Unshipped,2020-11-08,2020-11-18,2020-11-07,1041.86,143.32
86,11,11,86,31,Paid,2020-11-01,2020-11-13,2020-11-12,1732.57,912.64
87,12,12,87,186,New,2020-04-19,2020-05-01,2020-04-19,1013.13,564.74
88,13,13,88,76,Paid,2020-09-11,2020-09-24,2020-09-16,1265.74,196.88
89,14,14,89,160,Unshipped,2020-06-05,2020-06-14,2020-06-12,1234.81,672.20
90,15,15,90,186,Shipped,2020-07-08,2020-07-20,2020-07-21,1772.46,139.96
91,1,1,91,112,Paid,2020-04-12,2020-04-23,2020-04-17,1356.20,124.18
92,2,2,92,5,Unshipped,2020-05-06,2020-05-17,2020-05-09,1204.74,347.34
93,3,3,93,110,Shipped,2020-11-23,2020-12-04,2020-12-02,1239.29,676.17
94,4,4,94,197,Paid,2020-06-09,2020-06-21,2020-06-14,1543.04,863.33
95,5,5,95,182,Shipped,2020-04-19,2020-05-01,2020-04-18,1597.24,160.45
96,6,6,96,98,Shipped,2020-01-22,2020-01-31,2020-01-29,1115.43,169.73
97,7,7,97,155,Shipped,2020-01-21,2020-02-02,2020-01-21,1708.30,748.76
98,8,8,98,36,Unshipped,2020-08-05,2020-08-16,2020-08-05,1080.60,470.34
99,9,9,99,54,Shipped,2020-05-05,2020-05-15,2020-05-11,1332.79,251.63
100,10,10,100,104,Shipped,2020-09-12,2020-09-20,2020-09-14,1688.13,365.66
101,11,11,101,104,Unshipped,2020-10-09,2020-10-20,2020-10-06,1456.60,216.39
102,12,12,102,159,Shipped,2020-07-20,2020-08-02,2020-08-01,1834.38,977.21
103,13,13,103,138,New,2020-02-04,2020-02-13,2020-02-16,1829.15,717.49
104,14,14,104,142,Shipped,2020-08-10,2020-08-20,2020-08-10,1696.80,104.33
105,15,15,105,163,Paid,2020-08-29,2020-09-09,2020-09-10,1323.01,337.69
106,1,1,106,50,Paid,2020-08-16,2020-08-30,2020-08-26,1845.98,630.17
107,2,2,107,186,Unshipped,2020-06-11,2020-06-18,2020-06-22,1286.41,352.01
108,3,3,108,124,Unshipped,2020-05-09,2020-05-19,2020-05-13,1635.50,767.72
109,4,4,109,64,New,2020-09-07,2020-09-13,2020-09-19,1074.05,546.08
110,5,5,110,155,Shipped,2020-09-02,2020-09-15,2020-09-06,1921.49,329.30
111,6,6,111,91,Shipped,2020-05-11,2020-05-21,2020-05-19,1943.26,728.53
112,7,7,112,47,Unshipped,2020-06-09,2020-06-19,2020-06-06,1327.93,747.11
113,8,8,113,16,Unshipped,2020-07-17,2020-07-25,2020-07-20,1684.67,924.73
114,9,9,114,40,Unshipped,2020-03-24,2020-04-03,2020-04-04,1601.61,951.28
115,10,10,115,33,Paid,2020-06-09,2020-06-22,2020-06-12,1834.05,381.13
116,11,11,116,157,New,2020-01-12,2020-01-24,2020-01-23,1837.85,650.26
117,12,12,117,108,Unshipped,2020-03-22,2020-04-02,2020-03-27,1663.76,436.45
118,13,13,118,133,Shipped,2020-09-01,2020-09-10,2020-09-09,1881.71,642.14
119,14,14,119,159,Paid,2020-04-17,2020-04-28,2020-04-24,1297.82,663.38
120,15,15,120,193,Shipped,2020-11-20,2020-11-29,2020-11-22,1121.26,832.00
121,1,1,121,127,New,2020-08-16,2020-08-28,2020-08-14,1884.17,307.10
122,2,2,122,151,Shipped,2020-01-17,2020-01-26,2020-01-21,1169.26,858.31
123,3,3,123,92,Unshipped,2020-01-19,2020-01-28,2020-01-27,1166.42,759.50
124,4,4,124,93,New,2020-11-20,2020-11-27,2020-11-19,1204.14,512.96
125,5,5,125,180,Paid,2020-03-16,2020-03-27,2020-03-21,1418.98,572.15
126,6,6,126,72,Paid,2020-01-08,2020-01-18,2020-01-18,1883.81,133.83
127,7,7,127,9,Unshipped,2020-06-03,2020-06-17,2020-06-09,1167.62,931.28
128,8,8,128,173,Unshipped,2020-06-05,2020-06-14,2020-06-15,1234.93,675.83
129,9,9,129,162,New,2020-05-08,2020-05-21,2020-05-13,1343.15,839.75
130,10,10,130,14,Unshipped,2020-04-28,2020-05-06,2020-05-05,1626.20,604.68
131,11,11,131,112,New,2020-09-02,2020-09-10,2020-09-13,1539.50,715.43
132,12,12,132,73,Paid,2020-05-25,2020-06-06,2020-05-24,1694.76,399.34
133,13,13,133,178,Unshipped,2020-03-29,2020-04-07,2020-03-27,1548.16,562.93
134,14,14,134,47,Unshipped,2020-05-13,2020-05-22,2020-05-13,1802.63,854.94
135,15,15,135,164,New,2020-04-23,2020-05-04,2020-04-29,1124.56,293.40
136,1,1,136,12,Shipped,2020-09-08,2020-09-18,2020-09-21,1331.02,646.88
137,2,2,137,174,Unshipped,2020-07-29,2020-08-09,2020-08-01,1727.21,460.91
138,3,3,138,134,Shipped,2020-06-20,2020-06-29,2020-07-03,1157.64,672.58
139,4,4,139,108,Unshipped,2020-10-07,2020-10-20,2020-10-15,1229.76,141.09
140,5,5,140,43,Unshipped,2020-07-08,2020-07-18,2020-07-18,1883.26,122.89
141,6,6,141,56,Shipped,2020-05-15,2020-05-27,2020-05-21,1194.71,699.38
142,7,7,142,92,Unshipped,2020-07-10,2020-07-18,2020-07-13,1362.53,591.58
143,8,8,143,131,Unshipped,2020-01-23,2020-02-04,2020-01-26,1497.10,221.67
144,9,9,144,106,New,2020-01-04,2020-01-14,2020-01-06,1033.72,556.67
145,10,10,145,57,Unshipped,2020-04-09,2020-04-22,2020-04-08,1641.20,993.86
146,11,11,146,27,Shipped,2020-03-05,2020-03-16,2020-03-12,1092.39,389.00
147,12,12,147,38,Unshipped,2020-03-07,2020-03-18,2020-03-06,1291.29,142.16
148,13,13,148,37,Shipped,2020-03-07,2020-03-18,2020-03-14,1526.33,687.59
149,14,14,149,183,Shipped,2020-08-24,2020-09-01,2020-08-24,1311.30,304.19
150,15,15,150,92,New,2020-02-14,2020-02-25,2020-02-21,1417.52,201.47
151,1,1,151,196,Unshipped,2020-10-28,2020-11-08,2020-10-29,1734.24,297.03
152,2,2,152,55,Paid,2020-10-17,2020-10-25,2020-10-21,1954.66,694.94
153,3,3,153,166,Paid,2020-04-08,2020-04-16,2020-04-14,1210.34,800.85
154,4,4,154,156,Shipped,2020-02-19,2020-03-01,2020-02-29,1171.79,953.24
155,5,5,155,118,Shipped,2020-01-01,2020-01-09,2020-01-07,1580.80,792.65
156,6,6,156,116,Shipped,2020-02-29,2020-03-12,2020-03-05,1989.97,584.36
157,7,7,157,165,Paid,2020-02-10,2020-02-20,2020-02-16,1426.88,490.11
158,8,8,158,80,New,2020-06-30,2020-07-08,2020-07-04,1274.09,352.81
159,9,9,159,134,New,2020-06-13,2020-06-21,2020-06-20,1714.49,493.50
160,10,10,160,175,Unshipped,2020-09-09,2020-09-19,2020-09-09,1759.52,258.31
161,11,11,161,62,Unshipped,2020-07-06,2020-07-17,2020-07-08,1947.62,311.14
162,12,12,162,21,Unshipped,2020-08-09,2020-08-19,2020-08-20,1542.64,311.10
163,13,13,163,94,Unshipped,2020-07-11,2020-07-24,2020-07-21,1147.21,180.15
164,14,14,164,53,Paid,2020-03-02,2020-03-13,2020-03-08,1687.23,580.51
165,15,15,165,184,Unshipped,2020-04-01,2020-04-10,2020-04-06,1853.34,146.33
166,1,1,166,48,Shipped,2020-07-18,2020-07-26,2020-07-25,1493.54,296.79
167,2,2,167,171,Paid,2020-11-27,2020-12-08,2020-12-02,1449.74,176.06
168,3,3,168,99,New,2020-08-23,2020-09-01,2020-08-27,1195.17,573.94
169,4,4,169,65,New,2020-08-28,2020-09-08,2020-09-04,1678.71,949.24
170,5,5,170,103,Unshipped,2020-06-09,2020-06-16,2020-06-14,1900.82,224.36
171,6,6,171,73,New,2020-10-26,2020-11-06,2020-10-18,1101.25,826.89
172,7,7,172,90,New,2020-08-07,2020-08-17,2020-08-14,1183.10,444.37
173,8,8,173,169,Unshipped,2020-03-30,2020-04-09,2020-04-07,1149.00,367.87
174,9,9,174,73,Unshipped,2020-10-09,2020-10-19,2020-10-20,1718.84,685.49
175,10,10,175,7,Paid,2020-09-29,2020-10-09,2020-10-07,1072.51,710.38
176,11,11,176,106,Unshipped,2020-07-10,2020-07-19,2020-07-11,1744.01,899.87
177,12,12,177,133,Paid,2020-04-12,2020-04-21,2020-04-13,1498.50,713.73
178,13,13,178,108,Shipped,2020-04-01,2020-04-13,2020-04-01,1226.43,404.90
179,14,14,179,199,Unshipped,2020-08-10,2020-08-20,2020-08-10,1034.95,449.20
180,15,15,180,165,Paid,2020-07-11,2020-07-20,2020-07-16,1838.94,210.16
181,1,1,181,62,Unshipped,2020-08-14,2020-08-22,2020-08-22,1366.94,542.93
182,2,2,182,184,Unshipped,2020-04-14,2020-04-28,2020-04-27,1250.73,396.84
183,3,3,183,40,Shipped,2020-04-23,2020-05-08,2020-05-04,1898.16,702.72
184,4,4,184,154,Unshipped,2020-09-10,2020-09-19,2020-09-13,1813.57,501.10
185,5,5,185,140,Paid,2020-08-31,2020-09-10,2020-09-07,1284.28,163.56
186,6,6,186,199,Paid,2020-10-15,2020-10-25,2020-10-25,1723.95,728.74
187,7,7,187,96,New,2020-11-24,2020-12-10,2020-12-08,1018.28,253.71
188,8,8,188,38,Unshipped,2020-04-24,2020-05-05,2020-05-01,1336.22,248.17
189,9,9,189,62,Shipped,2020-10-07,2020-10-17,2020-10-10,1420.17,720.34
190,10,10,190,105,New,2020-06-13,2020-06-23,2020-06-20,1440.34,978.35
191,11,11,191,34,New,2020-05-13,2020-05-23,2020-05-19,1497.36,807.74
192,12,12,192,32,New,2020-02-01,2020-02-11,2020-02-08,1960.47,907.81
193,13,13,193,112,New,2020-05-24,2020-06-04,2020-06-01,1451.00,234.54
194,14,14,194,136,Shipped,2020-09-06,2020-09-17,2020-09-07,1798.35,240.65
195,15,15,195,148,Paid,2020-03-28,2020-04-08,2020-04-01,1417.76,184.83
196,1,1,196,199,New,2020-07-09,2020-07-18,2020-07-11,1935.21,978.46
197,2,2,197,46,Shipped,2020-03-13,2020-03-21,2020-03-15,1091.04,303.69
198,3,3,198,27,Unshipped,2020-04-15,2020-04-24,2020-04-17,1811.52,116.12
199,4,4,199,153,New,2020-11-10,2020-11-19,2020-11-15,1856.93,373.42
200,5,5,200,54,Paid,2020-08-29,2020-09-07,2020-08-26,1020.81,143.85
201,6,6,1,169,Paid,2020-09-03,2020-09-08,2020-09-16,1402.28,744.29
202,7,7,2,53,New,2020-04-30,2020-05-13,2020-04-27,1224.26,969.44
203,8,8,3,93,Shipped,2020-06-10,2020-06-20,2020-06-13,1732.00,100.33
204,9,9,4,5,Unshipped,2020-10-01,2020-10-09,2020-10-06,1240.40,440.29
205,10,10,5,145,Paid,2020-10-31,2020-11-10,2020-11-06,1814.88,474.97
206,11,11,6,102,New,2020-06-27,2020-07-04,2020-07-09,1027.31,961.50
207,12,12,7,93,New,2020-10-22,2020-11-04,2020-10-29,1934.90,550.18
208,13,13,8,23,New,2020-07-19,2020-07-31,2020-07-29,1352.35,848.83
209,14,14,9,35,Unshipped,2020-08-27,2020-09-05,2020-08-31,1730.99,990.31
210,15,15,10,181,Unshipped,2020-04-30,2020-05-13,2020-04-29,1112.21,826.81
211,1,1,11,174,Paid,2020-02-01,2020-02-10,2020-02-07,1972.19,462.03
212,2,2,12,160,Paid,2020-07-27,2020-08-08,2020-08-01,1708.35,315.28
213,3,3,13,115,Shipped,2020-01-25,2020-02-07,2020-02-07,1004.52,663.62
214,4,4,14,188,Paid,2020-08-17,2020-08-25,2020-08-17,1080.08,506.02
215,5,5,15,159,Unshipped,2020-06-29,2020-07-08,2020-07-01,1559.73,988.61
216,6,6,16,102,Paid,2020-06-15,2020-06-26,2020-06-18,1331.37,926.70
217,7,7,17,175,New,2020-06-05,2020-06-14,2020-06-16,1490.85,324.83
218,8,8,18,139,New,2020-10-07,2020-10-15,2020-10-12,1134.48,289.99
219,9,9,19,77,Shipped,2020-07-10,2020-07-19,2020-07-12,1696.11,849.32
220,10,10,20,6,New,2020-02-17,2020-02-25,2020-02-22,1664.80,730.94
221,11,11,21,100,Paid,2020-05-30,2020-06-09,2020-06-11,1330.28,916.45
222,12,12,22,38,Unshipped,2020-01-18,2020-02-02,2020-01-21,1778.02,480.02
223,13,13,23,42,New,2020-11-22,2020-12-02,2020-11-28,1916.28,711.30
224,14,14,24,139,Paid,2020-01-26,2020-02-05,2020-02-05,1424.32,891.67
225,15,15,25,69,New,2020-05-02,2020-05-14,2020-05-05,1994.89,996.32
226,1,1,26,70,New,2020-11-05,2020-11-16,2020-11-11,1301.36,335.75
227,2,2,27,68,Unshipped,2020-01-15,2020-01-24,2020-01-21,1096.64,525.03
228,3,3,28,52,Shipped,2020-01-07,2020-01-14,2020-01-11,1312.46,226.95
229,4,4,29,189,Shipped,2020-06-01,2020-06-13,2020-06-05,1511.79,493.61
230,5,5,30,53,Unshipped,2020-08-15,2020-08-23,2020-08-22,1764.19,137.88
231,6,6,31,164,Unshipped,2020-09-16,2020-09-30,2020-09-18,1350.26,756.99
232,7,7,32,7,Shipped,2020-11-06,2020-11-13,2020-11-11,1344.68,547.04
233,8,8,33,199,Unshipped,2020-01-12,2020-01-24,2020-01-23,1688.81,585.16
234,9,9,34,56,New,2020-06-20,2020-06-28,2020-06-26,1250.89,799.42
235,10,10,35,120,Unshipped,2020-08-08,2020-08-15,2020-08-13,1887.59,700.49
236,11,11,36,56,Shipped,2020-10-20,2020-10-29,2020-10-21,1471.63,747.38
237,12,12,37,192,Paid,2020-10-28,2020-11-07,2020-11-07,1652.02,628.62
238,13,13,38,14,Shipped,2020-02-18,2020-02-28,2020-02-25,1445.57,446.61
239,14,14,39,104,Shipped,2020-01-30,2020-02-09,2020-02-02,1617.48,586.19
240,15,15,40,93,Unshipped,2020-10-05,2020-10-14,2020-10-18,1608.41,221.00
241,1,1,41,28,Unshipped,2020-09-24,2020-10-05,2020-09-28,1800.41,535.89
242,2,2,42,27,New,2020-10-31,2020-11-10,2020-10-31,1369.81,501.92
243,3,3,43,9,Paid,2020-02-20,2020-03-05,2020-02-29,1272.42,220.65
244,4,4,44,58,Unshipped,2020-02-02,2020-02-13,2020-02-04,1065.00,841.01
245,5,5,45,53,Unshipped,2020-04-25,2020-05-02,2020-04-30,1306.80,746.29
246,6,6,46,44,Unshipped,2020-06-30,2020-07-09,2020-07-03,1141.73,526.69
247,7,7,47,110,Shipped,2020-07-13,2020-07-28,2020-07-20,1325.64,433.97
248,8,8,48,137,Paid,2020-04-29,2020-05-11,2020-05-05,1790.55,716.49
249,9,9,49,23,Shipped,2020-01-01,2020-01-11,2020-01-05,1495.23,114.33
250,10,10,50,92,Unshipped,2020-09-17,2020-09-24,2020-09-24,1837.33,574.21
251,11,11,51,179,Paid,2020-08-10,2020-08-18,2020-08-12,1797.91,846.16
252,12,12,52,63,Paid,2020-11-04,2020-11-10,2020-11-04,1600.51,929.55
253,13,13,53,61,Shipped,2020-10-23,2020-10-31,2020-10-28,1041.25,719.75
254,14,14,54,22,Unshipped,2020-06-23,2020-06-30,2020-06-29,1264.84,334.03
255,15,15,55,42,Unshipped,2020-07-14,2020-07-24,2020-07-18,1473.46,295.41
256,1,1,56,9,Unshipped,2020-04-11,2020-04-21,2020-04-14,1460.27,401.89
257,2,2,57,160,New,2020-07-09,2020-07-19,2020-07-06,1261.91,986.82
258,3,3,58,15,New,2020-04-30,2020-05-11,2020-05-12,1343.66,965.02
259,4,4,59,103,Unshipped,2020-09-04,2020-09-16,2020-09-11,1820.26,130.52
260,5,5,60,26,Unshipped,2020-10-19,2020-10-30,2020-10-26,1101.64,630.10
261,6,6,61,111,Shipped,2020-01-11,2020-01-23,2020-01-19,1056.02,932.99
262,7,7,62,1,Paid,2020-07-15,2020-07-26,2020-07-19,1462.28,860.68
263,8,8,63,6,Unshipped,2020-01-17,2020-01-25,2020-01-26,1666.41,152.07
264,9,9,64,31,New,2020-05-17,2020-05-28,2020-05-21,1958.67,340.34
265,10,10,65,68,Unshipped,2020-06-19,2020-06-29,2020-07-01,1807.84,635.49
266,11,11,66,17,Unshipped,2020-06-16,2020-06-30,2020-06-25,1740.74,859.73
267,12,12,67,189,Unshipped,2020-05-27,2020-06-04,2020-05-31,1783.69,773.05
268,13,13,68,169,New,2020-02-07,2020-02-13,2020-02-10,1019.53,267.38
269,14,14,69,10,Unshipped,2020-03-02,2020-03-12,2020-03-06,1997.45,893.00
270,15,15,70,51,Unshipped,2020-04-14,2020-04-25,2020-04-18,1420.13,231.91
271,1,1,71,189,Shipped,2020-11-22,2020-11-29,2020-12-01,1813.90,934.22
272,2,2,72,97,Shipped,2020-02-21,2020-03-01,2020-02-19,1481.88,837.52
273,3,3,73,150,Unshipped,2020-07-02,2020-07-15,2020-07-05,1674.02,849.60
274,4,4,74,13,Paid,2020-10-10,2020-10-17,2020-10-09,1449.88,670.82
275,5,5,75,110,New,2020-09-05,2020-09-15,2020-09-14,1217.12,200.62
276,6,6,76,155,Shipped,2020-03-30,2020-04-06,2020-04-09,1948.88,959.36
277,7,7,77,195,Shipped,2020-02-04,2020-02-15,2020-02-08,1129.52,400.67
278,8,8,78,18,Unshipped,2020-10-20,2020-10-30,2020-10-21,1861.65,196.09
279,9,9,79,53,Shipped,2020-07-15,2020-07-25,2020-07-11,1516.28,472.19
280,10,10,80,98,Paid,2020-03-04,2020-03-10,2020-03-20,1006.33,722.15
281,11,11,81,194,Paid,2020-07-20,2020-08-02,2020-07-27,1912.94,826.55
282,12,12,82,73,New,2020-06-08,2020-06-15,2020-06-19,1342.01,414.91
283,13,13,83,22,Paid,2020-09-12,2020-09-24,2020-09-14,1394.71,629.32
284,14,14,84,1,Unshipped,2020-05-03,2020-05-13,2020-05-05,1155.76,900.84
285,15,15,85,199,Unshipped,2020-01-15,2020-01-23,2020-01-27,1464.16,789.60
286,1,1,86,128,New,2020-08-17,2020-08-27,2020-08-28,1222.58,950.93
287,2,2,87,121,Paid,2020-07-12,2020-07-21,2020-07-24,1426.06,236.51
288,3,3,88,149,New,2020-01-20,2020-01-29,2020-01-26,1182.05,596.26
289,4,4,89,54,Shipped,2020-07-11,2020-07-17,2020-07-27,1407.66,271.92
290,5,5,90,75,Unshipped,2020-02-04,2020-02-14,2020-02-10,1358.54,207.24
291,6,6,91,47,New,2020-06-14,2020-06-28,2020-06-19,1656.79,954.61
292,7,7,92,68,New,2020-04-23,2020-05-07,2020-04-25,1716.78,623.88
293,8,8,93,2,Paid,2020-06-18,2020-06-26,2020-06-22,1168.77,408.64
294,9,9,94,164,Shipped,2020-04-09,2020-04-19,2020-04-17,1103.92,296.50
295,10,10,95,10,New,2020-01-03,2020-01-11,2020-01-11,1328.25,490.47
296,11,11,96,164,New,2020-10-28,2020-11-09,2020-11-08,1083.08,540.66
297,12,12,97,116,Unshipped,2020-11-28,2020-12-05,2020-11-28,1859.91,656.67
298,13,13,98,100,Unshipped,2020-09-06,2020-09-13,2020-09-11,1378.76,233.86
299,14,14,99,79,Shipped,2020-03-02,2020-03-10,2020-03-02,1299.91,225.86
300,15,15,100,9,Shipped,2020-06-18,2020-06-29,2020-06-22,1939.98,264.12
